ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1128;-0,0456;1082,2237;48,1345;-0,0000;default broker;16690,1113;0,0000;0,0000;-742,3325;742,3325;-0,0000;COLDPOWER22;-87,1400;0,0000;0,0000;3,8758;3,8758;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-10487,7200;-1427,1617;-1082,2237;466,4663;-466,4663;-48,1345;TUC_TAC22;-5033,0276;-7732,5622;0,0000;223,8559;223,8559;-0,0000
363;0,1395;-0,0351;8193,2827;220,0652;189,6014;default broker;15811,8746;0,0000;0,0000;-424,6946;424,6946;-0,0000;COLDPOWER22;-92,4200;0,0000;0,0000;2,4823;-1,7951;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-4491,5813;-1509,9126;-1509,9126;120,6404;-120,6404;-30,4638;TUC_TAC22;-3034,5907;-7353,2338;0,0000;81,5067;-58,9407;-0,0000
364;0,1434;-0,0485;7503,2036;307,7953;269,7220;default broker;14700,1030;0,0000;0,0000;-603,0254;603,0254;-0,0000;COLDPOWER22;-117,7900;0,0000;0,0000;4,8320;-3,6366;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-4745,9390;-1099,7980;-1099,7980;194,6872;-194,6872;-38,0733;TUC_TAC22;-2333,1704;-6785,0854;0,0000;95,7110;-72,0327;-0,0000
365;0,1250;-0,0414;5075,4187;184,2019;174,3859;default broker;13432,7594;0,0000;0,0000;-487,5145;487,5145;-0,0000;COLDPOWER22;-148,7600;0,0000;0,0000;5,3989;-4,8235;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-3457,0191;-311,3337;-311,3337;125,4654;-125,4654;-9,8160;TUC_TAC22;-4751,5615;-5422,0644;0,0000;172,4482;-154,0689;-0,0000
366;0,1360;-0,0546;7849,5662;366,9917;354,7828;default broker;11132,3910;0,0000;0,0000;-520,4740;520,4740;-0,0000;COLDPOWER22;-203,7700;0,0000;0,0000;9,5269;-8,8930;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-969,6361;-311,3337;-311,3337;45,3335;-45,3335;-12,2089;TUC_TAC22;-2109,4187;-5802,8060;0,0000;98,6219;-92,0601;-0,0000
367;0,1672;-0,0577;21172,3701;774,3986;769,5060;default broker;8723,1985;0,0000;0,0000;-319,0589;315,0273;-0,0000;COLDPOWER22;-266,8700;0,0000;0,0000;9,7610;-9,6377;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;12603,6480;-311,3337;-311,3337;-460,9898;460,9898;-4,8926;TUC_TAC22;112,3937;-3507,6336;0,0000;-4,1109;4,0590;-0,0000
368;0,1252;-0,0508;24617,4895;643,3168;-0,0000;default broker;7039,4053;0,0000;0,0000;-183,9573;183,6321;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;-10134,8110;0,0000;0,0000;264,8481;-264,3799;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;21938,3936;-311,3337;-311,3337;-573,3053;573,3053;-0,5686;TUC_TAC22;5774,5016;-4526,2410;0,0000;-150,9022;150,6355;-0,0000
369;0,1450;-0,0569;18848,2298;717,3419;711,2641;default broker;6656,1645;0,0000;0,0000;-253,3260;249,0332;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;-10272,8930;0,0000;0,0000;390,9745;-384,3492;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;26615,2533;-311,3337;-311,3337;-1012,9459;1012,9459;-6,0778;TUC_TAC22;-4150,2951;-3057,8225;0,0000;157,9554;-155,2788;-0,0000
370;0,1676;-0,0500;28239,9828;615,5136;-0,0000;default broker;6763,2542;0,0000;0,0000;-147,4107;148,3252;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;-11070,3038;0,0000;0,0000;241,2863;-242,7833;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;39975,7677;-311,3337;-311,3337;-871,3046;871,3046;1,9094;TUC_TAC22;-7428,7353;-2800,1197;0,0000;161,9154;-162,9199;-0,0000
371;0,1568;-0,0503;31436,8260;593,5868;-0,0000;default broker;7058,9931;0,0000;0,0000;-133,2872;134,9990;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;-10404,3666;0,0000;0,0000;196,4541;-198,9773;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;41699,9440;-311,3337;-311,3337;-787,3739;787,3739;3,8118;TUC_TAC22;-6917,7444;-3046,3339;0,0000;130,6201;-132,2977;-0,0000
