ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1128;-0,0544;14119,7033;568,7919;527,7292;default broker;17897,6063;0,0000;0,0000;-720,9792;720,9792;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-3229,0055;-1485,1425;-1485,1425;130,0758;-130,0758;-41,0627;TUC_TAC22;-548,8975;-95,8592;0,0000;22,1115;-18,9190;-0,0000
363;0,1223;-0,0427;17397,4584;439,8029;-0,0000;default broker;16257,1932;0,0000;0,0000;-410,9773;382,0682;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;2450,2971;-1626,7126;-1626,7126;-61,9428;61,9428;-15,4684;TUC_TAC22;-1310,0319;-98,4748;0,0000;33,1172;-30,7877;-0,0000
364;0,2047;-0,0392;6791,6927;220,2801;197,1692;default broker;14886,7588;0,0000;0,0000;-482,8336;482,8336;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-7439,1289;-871,6600;-871,6600;241,2789;-241,2789;-23,1110;TUC_TAC22;-655,9372;-92,2804;0,0000;21,2745;-16,8104;-0,0000
365;0,3198;-0,0920;-3549,4332;1147,8825;0,0000;default broker;13589,4501;0,0000;0,0000;4394,8121;3794,1088;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-4291,2261;1200,0000;0,0000;-1387,7775;-1387,7775;-0,0000;TUC_TAC22;-12847,6572;12758,6504;3549,4332;-4154,9172;-4154,9172;990,9846
366;0,3694;-0,0931;-11433,5527;4353,8976;0,0000;default broker;11477,3509;0,0000;0,0000;4370,5759;4134,4345;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-8089,4963;1200,0000;0,0000;-3080,4807;-3080,4807;-0,0000;TUC_TAC22;-14821,4074;11519,4764;11433,5527;-5643,9929;-5643,9929;4118,6573
367;0,3791;-0,1038;961,9006;98,9290;54,8331;default broker;9573,1863;0,0000;0,0000;-984,5779;106,8600;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;10146,1277;-430,9758;-430,9758;-1043,5035;1043,5035;-44,0959;TUC_TAC22;-18757,4134;-57,6535;0,0000;1929,1524;-209,3782;-0,0000
368;0,3782;-0,0928;10815,4393;886,7945;856,1375;default broker;7744,2138;0,0000;0,0000;-634,9743;591,0715;-0,0000;COLDPOWER22;-15,6100;0,0000;0,0000;1,2799;-1,1914;-0,0000;Mertacor22;-1464,4568;0,0000;0,0000;120,0758;-111,7736;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;20820,2630;-428,1337;-428,1337;-1707,1238;1707,1238;-30,6570;TUC_TAC22;-16268,9706;-101,4575;0,0000;1333,9479;-1241,7173;-0,0000
369;0,4784;-0,1239;28076,3645;2690,9464;840,2648;default broker;7565,3590;0,0000;0,0000;-725,0930;174,0505;-0,0000;COLDPOWER22;-13,7000;0,0000;0,0000;1,3131;-0,3152;-0,0000;Mertacor22;-1514,0011;0,0000;0,0000;145,1077;-34,8315;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;34581,4196;-428,1337;-428,1337;-3314,4159;654,1379;135,9393;TUC_TAC22;-12542,7129;-98,2124;0,0000;1202,1417;-288,5608;-0,0000
370;0,4905;-0,1250;31091,1486;2919,1892;1007,3826;default broker;7774,9354;0,0000;0,0000;-729,9990;191,7752;-0,0000;COLDPOWER22;-12,1000;0,0000;0,0000;1,1361;-0,2985;-0,0000;Mertacor22;-619,9650;0,0000;0,0000;58,2093;-15,2919;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;34637,4440;-428,1337;-428,1337;-3252,1556;667,3788;186,3534;TUC_TAC22;-10689,1658;-93,9335;0,0000;1003,6200;-263,6571;-0,0000
371;0,5570;-0,1398;30733,3270;3352,8187;-0,0000;default broker;8178,8882;0,0000;0,0000;-892,2669;892,2669;-0,0000;COLDPOWER22;-11,1000;0,0000;0,0000;1,2109;-1,2109;-0,0000;Mertacor22;-775,8100;0,0000;0,0000;84,6361;-84,6361;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;33718,1743;-428,1337;0,0000;-3678,4474;3678,4474;-0,0000;TUC_TAC22;-10376,8255;-100,9982;0,0000;1132,0484;-1132,0484;-0,0000
