ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,0750;-0,0371;-15635,5644;1416,9021;0,0000;default broker;2664,7090;0,0000;0,0000;241,4772;241,4772;-0,0000;COLDPOWER22;-61,0900;0,0000;0,0000;-5,5360;-5,5360;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-16387,0754;0,0000;0,0000;-1485,0044;-1485,0044;-0,0000;TUC_TAC22;-1852,1080;2648,1025;0,0000;-167,8389;-167,8389;-0,0000
363;0,0854;-0,0362;5859,1569;177,8817;147,0412;default broker;2539,3878;0,0000;0,0000;-77,0948;50,3619;-0,0000;COLDPOWER22;-62,5700;0,0000;0,0000;1,8996;-1,2409;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;2486,6083;-1200,0000;-1200,0000;-75,4925;75,4925;-30,8405;TUC_TAC22;895,7308;-7298,0667;0,0000;-27,1940;17,7644;-0,0000
364;0,0745;-0,0353;-5159,2935;410,9154;410,9154;default broker;2575,2681;0,0000;0,0000;205,1090;205,1090;-0,0000;COLDPOWER22;-88,6580;0,0000;0,0000;-7,0612;-7,0612;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-8611,6363;1138,6500;0,0000;-685,8796;-685,8796;-0,0000;TUC_TAC22;965,7327;1146,3643;0,0000;76,9164;76,9164;-0,0000
365;0,1020;-0,0400;15551,1513;380,4092;-0,0000;default broker;2957,2821;0,0000;0,0000;-72,3404;67,7260;-0,0000;COLDPOWER22;-107,4120;0,0000;0,0000;2,6275;-2,4599;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;8016,7942;-1200,0000;-1200,0000;-196,1052;196,1052;-12,1328;TUC_TAC22;4684,4870;-6610,6682;0,0000;-114,5910;107,2814;-0,0000
366;0,1001;-0,0355;4741,3124;145,9505;134,1272;default broker;2725,0740;0,0000;0,0000;-83,8852;83,8852;-0,0000;COLDPOWER22;-144,9200;0,0000;0,0000;4,4610;-3,7383;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-913,1878;-446,3684;-446,3684;28,1104;-28,1104;-11,8233;TUC_TAC22;3074,3461;-6314,0457;0,0000;-94,6368;94,6368;-0,0000
367;0,1098;-0,0405;23666,6404;398,0802;-0,0000;default broker;2994,8514;0,0000;0,0000;-50,3743;53,2327;-0,0000;COLDPOWER22;-195,0120;0,0000;0,0000;3,2802;-3,4663;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;17582,4026;-1,4211;-1,4211;-295,7414;312,5519;-0,0297;TUC_TAC22;3284,3985;-5303,8962;-4057,5918;-55,2446;-1,5674;11,3040
368;0,1123;-0,0364;45072,7737;-390,3142;-59,7062;default broker;3078,8780;0,0000;0,0000;26,6620;15,7996;-0,0000;COLDPOWER22;-115,6720;0,0000;0,0000;-1,0017;-0,5936;-0,0000;Mertacor22;-1597,4829;0,0000;0,0000;-13,8336;-8,1977;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;37598,9609;-1,4211;-1,4211;325,5936;-110,7193;363,9825;TUC_TAC22;6108,0898;-6109,7088;-6109,7088;52,8939;-96,8259;654,8670
369;0,1103;-0,0483;34295,7596;481,4838;22,8955;default broker;3295,6721;0,0000;0,0000;-46,2685;10,1540;-0,0000;COLDPOWER22;-76,0600;0,0000;0,0000;1,0678;-0,2343;-0,0000;Mertacor22;-1799,5395;0,0000;0,0000;25,2640;-5,5444;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;30502,2303;-1,4211;-1,4211;-428,2258;65,6163;31,8923;TUC_TAC22;2373,4566;-5677,6005;-5677,6005;-33,3213;-6,3470;114,6372
370;0,1100;-0,0408;26427,6429;380,3196;27,4564;default broker;3142,3776;0,0000;0,0000;-45,2219;7,4646;-0,0000;COLDPOWER22;-68,2820;0,0000;0,0000;0,9826;-0,1622;-0,0000;Mertacor22;-891,7628;0,0000;0,0000;12,8333;-2,1184;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;22709,7891;-1,4211;-1,4211;-326,8160;29,7907;28,1223;TUC_TAC22;1535,5210;-5076,6645;-5076,6645;-22,0976;-2,0897;63,4388
371;0,1276;-0,0358;25945,7747;256,9565;82,5682;default broker;3034,5932;0,0000;0,0000;-30,0534;16,5369;-0,0000;COLDPOWER22;-72,7200;0,0000;0,0000;0,7202;-0,3963;-0,0000;Mertacor22;-1037,9915;0,0000;0,0000;10,2799;-5,6565;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;20266,0532;-1,4211;-1,4211;-200,7069;48,4707;79,3447;TUC_TAC22;3755,8399;-5674,5194;-5674,5194;-37,1963;-8,0431;138,1534
